from type -> to type,connections,synapses
LMa4 -> T2,998,3025
Mi15 -> Dm2,839,3006
Mi2 -> Tm1,882,3006
Pm08 -> Pm09,438,3006
Dm4 -> Mi15,481,3006
Tm27 -> LC11,973,2996
Y3 -> Sm42,284,2996
T2 -> Li06,941,2994
T5a -> Tlp5,904,2982
LPi10 -> T5b,1045,2982
T2 -> Li17,1021,2977
L3 -> Mi2,775,2977
LPi15 -> TmY20,141,2974
Sm05 -> TmY3,434,2973
Y3 -> LPLC2,590,2971
Li16 -> LPLC1,307,2960
Li17 -> LC12,711,2957
L3 -> C3,615,2952
T3 -> TmY5a,881,2949
TmY5a -> Pm08,973,2949
Tm1 -> L2,586,2943
Li06 -> LC17,571,2942
T5d -> VS3,355,2940
